tt_feature,best_ircam_col,best_r,second_col,second_r
tt_SpecCent_IQR,1SCN_1_IQR,0.7922749517390864,1ZCR_IQR,0.7904960976117696
tt_SpecCrest_med,1SSP_4_med,0.5289056975565268,1CHR_3_IQR,0.5261899644693365
tt_SpecCrest_IQR,1SPR_med,0.4855176860726084,1SCN_2_med,0.46511715818315674
tt_SpecDecr_med,1SPK_1_med,0.5418473656430554,1SVL_1_med,0.5382097102860852
tt_SpecDecr_IQR,1SPK_2_med,0.5657419157202948,1SVL_2_med,0.5469841943850272
tt_SpecFlat_med,1SSP_2_med,0.8266743732561989,1POE_2_med,0.8262399708485606
tt_SpecFlat_IQR,1SSP_2_med,0.8153740220186787,1POE_2_med,0.8151808501280852
tt_SpecKurt_med,1SPK_3_med,0.7669302767068534,1SPK_2_med,0.7550361525242487
tt_SpecKurt_IQR,1SPK_3_med,0.6650171177169608,1SPK_4_med,0.6416325733526023
tt_SpecRollOff_med,1SRO_med,0.9534377977704441,1SCN_0_med,0.9074405694396581
tt_SpecRollOff_IQR,1SRO_IQR,0.7961479029665295,1SSP_1_IQR,0.7873402234373864
tt_SpecSpread_med,1SSP_1_med,0.888096129642733,1SRO_med,0.8797516817295326
tt_SpecSpread_IQR,1SSP_1_IQR,0.8190811486854097,1SRO_IQR,0.8044509675102073
tt_SpecVar_med,1SSP_2_med,0.8966303825518436,1POE_2_med,0.8944186080575239
tt_SpecVar_IQR,1PSP_0_IQR,0.5983610775846602,1SSP_3_IQR,0.5975898433220851
tt_F0_med,1PSD_0_med,0.7170353008992026,1PSD_2_med,0.6649922090064128
tt_F0_IQR,1HMO_70_med,0.34514895516618194,1HMO_73_med,0.33982226125174275
tt_HarmErg_IQR,1PKU_0_med,0.4956421850818866,1RSL_4_med,0.437001394864448
tt_InHarm_med,1RSL_9_IQR,0.5169384988065876,1MFC_10_IQR,0.383639892062529
tt_InHarm_IQR,1RSL_9_IQR,0.4796737130670774,1MFC_10_IQR,0.3937254909387421
tt_OddEvenRatio_med,1HOE_1_med,0.6777679610316374,1HOE_0_med,0.649278771951012
tt_OddEvenRatio_IQR,1HOE_0_med,0.5829277625335567,1HOE_1_med,0.5635078963847298
tt_AmpMod,1HTR_1_med,0.24725838438252426,1PSD_0_med,0.2428782871556446
tt_Att,1EEV_IQR,0.3172761008485921,1RSL_23_IQR,0.17009719306036578
tt_Dec,1EEV_IQR,0.3638844368630516,1HMO_9_med,0.2694822141605084
tt_DecSlope,1SPK_2_med,0.7382254370520022,1SVL_1_med,0.7349915376881793
tt_EffDur,1EEV_med,0.8370676769684102,1NRG_med,0.8294305659011366
tt_FreqMod,1SPK_1_med,0.4884166003098442,1SVL_1_med,0.45761397379125346
tt_LAT,1EEV_IQR,0.4323022417307256,1EEV_med,0.23597256143535006
tt_RMSEnv_med,1NRG_med,0.7596644430174418,1EEV_med,0.7576997273146481
tt_RMSEnv_IQR,1EEV_IQR,0.5792019089138213,1NRG_IQR,0.5541487634003728
tt_TempCent,1EEV_med,0.744626012984827,1NRG_med,0.7325495071203239
